IBOV - Carteira do Dia 15/03/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.665.566;0,321;
ALOS3;ALLOS;ON      NM;532.616.595;0,605;
ALPA4;ALPARGATAS;PN      N1;176.733.968;0,084;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,609;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,180;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,910;
AZUL4;AZUL;PN      N2;327.593.725;0,192;
B3SA3;B3;ON      NM;5.602.790.110;3,251;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,032;
BBDC3;BRADESCO;ON      N1;1.500.728.902;0,877;
BBDC4;BRADESCO;PN      N1;5.146.576.868;3,421;
BRAP4;BRADESPAR;PN      N1;251.003.438;0,234;
BBAS3;BRASIL;ON  EJ  NM;1.420.949.112;3,738;
BRKM5;BRASKEM;PNA     N1;265.877.867;0,259;
BRFS3;BRF SA;ON      NM;1.677.525.446;1,345;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,985;
CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,311;
BHIA3;CASAS BAHIA;ON      NM;94.843.047;0,035;
CCRO3;CCR SA;ON      NM;995.335.937;0,642;
CMIG4;CEMIG;PN      N1;1.437.415.777;0,740;
CIEL3;CIELO;ON      NM;1.095.462.329;0,271;
COGN3;COGNA ON;ON      NM;1.814.920.980;0,237;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,774;
CSAN3;COSAN;ON      NM;1.168.097.881;0,898;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,293;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,292;
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,082;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,313;
DXCO3;DEXCO;ON  ED  NM;302.768.240;0,115;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;4,043;
ELET6;ELETROBRAS;PNB     N1;268.544.014;0,608;
EMBR3;EMBRAER;ON      NM;734.632.705;1,001;
ENGI11;ENERGISA;UNT     N2;326.511.683;0,742;
ENEV3;ENEVA;ON      NM;1.579.130.168;0,930;
EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,479;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,675;
EZTC3;EZTEC;ON      NM;91.514.307;0,072;
FLRY3;FLEURY;ON      NM;240.822.651;0,167;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,100;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,300;
NTCO3;GRUPO NATURA;ON      NM;846.244.302;0,727;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,170;
HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,785;
HYPE3;HYPERA;ON      NM;409.490.388;0,623;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,243;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,152;
ITSA4;ITAUSA;PN      N1;5.372.783.971;2,667;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;7,736;
JBSS3;JBS;ON      NM;1.134.986.472;1,240;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,748;
RENT3;LOCALIZA;ON      NM;853.202.347;2,134;
LREN3;LOJAS RENNER;ON      NM;951.329.770;0,729;
LWSA3;LWSA;ON      NM;393.173.139;0,106;
